Comunidade,Município,Estado,Índice de Desmatamento (%),Acesso à Água Potável (%),Cobertura Vegetal (%),Renda Média Mensal (R$),Densidade Populacional (hab/km²),Frequência de Queimadas (ano),Distância de Área Urbana (km),Presença de Escola (Sim/Não),Presença de Unidade de Saúde (Sim/Não),Latitude,Longitude,Cluster,Cluster_Nome
Comunidade 166,PARAUAPEBAS,Pará,11.0,91.4,21.8,1489.0,93.6,8,55.0,Sim,Sim,-6.0696846,-49.8903283,3,Perfis Mistos1
Comunidade 167,MEDICILÂNDIA,Pará,59.6,58.2,77.5,1396.0,113.4,6,45.0,Não,Não,-3.4438388,-52.8889236,1,Alto Impacto
Comunidade 168,RURÓPOLIS,Pará,7.3,39.4,62.7,1749.0,25.5,8,2.5,Não,Não,-4.1014311,-54.9086853,1,Alto Impacto
Comunidade 169,CAPANEMA,Pará,54.8,32.0,55.3,522.0,132.4,1,59.1,Sim,Sim,-1.1933054,-47.1828679,2,Perfis Mistos
Comunidade 170,ITUPIRANGA,Pará,84.9,82.9,86.0,832.0,131.0,11,17.7,Sim,Não,-5.1337224,-49.3321988,1,Alto Impacto
Comunidade 171,DOM ELISEU,Pará,53.9,73.4,77.0,2319.0,6.3,7,64.6,Sim,Não,-4.2928111,-47.5559083,1,Alto Impacto
Comunidade 172,ANAJÁS,Pará,38.0,79.3,22.9,615.0,124.2,7,76.2,Sim,Não,-0.9878802,-49.9390114,3,Perfis Mistos1
Comunidade 173,CUMARU DO NORTE,Pará,59.7,44.9,36.5,1968.0,21.1,1,50.5,Sim,Não,-7.8122669,-50.7677675,0,Baixo Impacto
Comunidade 174,JACUNDÁ,Pará,44.0,39.5,31.1,1038.0,51.6,11,54.7,Sim,Sim,-4.446173,-49.115272,3,Perfis Mistos1
Comunidade 175,RIO MARIA,Pará,51.4,31.0,73.2,1412.0,112.0,3,95.2,Não,Sim,-7.3137312,-50.0465372,2,Perfis Mistos
Comunidade 176,SANTANA DO ARAGUAIA,Pará,85.0,54.5,12.9,1151.0,25.8,10,84.9,Sim,Sim,-9.3348334,-50.3427734,3,Perfis Mistos1
Comunidade 177,NOVO PROGRESSO,Pará,37.8,71.3,58.4,1325.0,123.1,6,91.5,Sim,Não,-7.0374884,-55.4185904,1,Alto Impacto
Comunidade 178,MOJUÍ DOS CAMPOS,Pará,86.7,57.5,74.8,2270.0,125.2,10,81.6,Não,Não,-2.682167,-54.642717,1,Alto Impacto
Comunidade 179,SANTA MARIA DO PARÁ,Pará,82.0,60.6,84.5,1173.0,77.1,3,11.8,Não,Não,-1.3455478,-47.5782981,2,Perfis Mistos
Comunidade 180,GARRAFÃO DO NORTE,Pará,21.6,93.3,39.1,1873.0,2.9,3,15.8,Sim,Sim,-1.9282256,-47.0513157,0,Baixo Impacto
Comunidade 181,JURUTI,Pará,10.9,54.4,79.8,1638.0,44.5,5,53.1,Não,Não,-2.1571381,-56.0900977,2,Perfis Mistos
Comunidade 182,SALINÓPOLIS,Pará,13.6,66.0,19.4,2126.0,93.3,9,25.4,Sim,Não,-0.6259282,-47.3442819,3,Perfis Mistos1
Comunidade 183,BELTERRA,Pará,6.5,84.9,81.9,2836.0,147.2,5,48.2,Sim,Não,-2.636091,-54.937392,2,Perfis Mistos
Comunidade 184,PORTO DE MOZ,Pará,13.0,57.8,20.8,2305.0,95.5,9,40.0,Sim,Não,-1.7502089,-52.235556,3,Perfis Mistos1
Comunidade 185,SANTA ISABEL DO PARÁ,Pará,63.1,73.5,43.8,959.0,40.5,2,55.4,Sim,Não,-1.2968557,-48.1605533,0,Baixo Impacto
Comunidade 186,CAMETÁ,Pará,11.1,90.4,77.8,481.0,95.8,8,74.9,Sim,Sim,-2.242949,-49.497885,1,Alto Impacto
Comunidade 187,PACAJÁ,Pará,32.1,96.5,22.7,1082.0,81.9,11,71.8,Sim,Sim,-3.8354195,-50.6399248,3,Perfis Mistos1
Comunidade 188,ANANINDEUA,Pará,76.8,40.3,29.5,1947.0,117.4,9,52.6,Sim,Sim,-1.374035,-48.4016623,3,Perfis Mistos1
Comunidade 189,ÓBIDOS,Pará,7.0,94.9,71.4,534.0,17.8,10,82.4,Sim,Sim,-1.901072,-55.520812,1,Alto Impacto
Comunidade 190,SÃO FÉLIX DO XINGU,Pará,74.2,64.4,71.2,1691.0,114.6,1,43.7,Sim,Não,-6.6386974,-51.9787582,2,Perfis Mistos
Comunidade 191,PARAUAPEBAS,Pará,29.0,48.1,64.5,1952.0,82.1,5,89.8,Não,Não,-6.0696846,-49.8903283,2,Perfis Mistos
Comunidade 192,PLACAS,Pará,15.0,62.1,69.0,1269.0,144.5,11,8.1,Sim,Sim,-3.8689529,-54.2154346,1,Alto Impacto
Comunidade 193,BAGRE,Pará,64.2,98.6,56.1,2404.0,52.6,6,95.5,Sim,Sim,-1.8994498,-50.2103844,1,Alto Impacto
Comunidade 194,SANTARÉM,Pará,58.5,64.5,31.4,677.0,95.6,11,65.8,Sim,Não,-2.438489,-54.699611,3,Perfis Mistos1
Comunidade 195,FLORESTA DO ARAGUAIA,Pará,79.6,53.0,39.4,595.0,139.9,8,38.6,Sim,Sim,-7.5597065,-49.7032829,3,Perfis Mistos1
Comunidade 196,MOJUÍ DOS CAMPOS,Pará,67.5,74.3,25.4,2293.0,17.2,2,20.5,Sim,Sim,-2.682167,-54.642717,0,Baixo Impacto
Comunidade 197,PORTO DE MOZ,Pará,73.3,46.8,87.2,1688.0,140.7,9,48.4,Não,Sim,-1.7502089,-52.235556,1,Alto Impacto
Comunidade 198,TUCURUÍ,Pará,29.0,35.3,59.6,2190.0,103.8,2,20.3,Sim,Sim,-3.766334,-49.6663654,2,Perfis Mistos
Comunidade 199,CURUÇÁ,Pará,20.1,39.0,44.1,1531.0,12.0,6,17.5,Sim,Sim,-0.7220333,-47.8650027,3,Perfis Mistos1
Comunidade 200,VIGIA,Pará,68.8,39.0,49.3,1041.0,46.5,3,62.1,Sim,Sim,-0.8546027,-48.1432873,0,Baixo Impacto
